"dataset size","Random_very_basic - _step","Random_very_basic - _step__MIN","Random_very_basic - _step__MAX","Random_very_basic - very_basic_log_likelihood","Random_very_basic - very_basic_log_likelihood__MIN","Random_very_basic - very_basic_log_likelihood__MAX","Random_basic - _step","Random_basic - _step__MIN","Random_basic - _step__MAX","Random_basic - basic_log_likelihood","Random_basic - basic_log_likelihood__MIN","Random_basic - basic_log_likelihood__MAX","Random_advanced - _step","Random_advanced - _step__MIN","Random_advanced - _step__MAX","Random_advanced - advanced_log_likelihood","Random_advanced - advanced_log_likelihood__MIN","Random_advanced - advanced_log_likelihood__MAX","Random_detailed - _step","Random_detailed - _step__MIN","Random_detailed - _step__MAX","Random_detailed - detailed_log_likelihood","Random_detailed - detailed_log_likelihood__MIN","Random_detailed - detailed_log_likelihood__MAX","BIC_advanced - _step","BIC_advanced - _step__MIN","BIC_advanced - _step__MAX","BIC_advanced - advanced_log_likelihood","BIC_advanced - advanced_log_likelihood__MIN","BIC_advanced - advanced_log_likelihood__MAX","BIC_detailed - _step","BIC_detailed - _step__MIN","BIC_detailed - _step__MAX","BIC_detailed - detailed_log_likelihood","BIC_detailed - detailed_log_likelihood__MIN","BIC_detailed - detailed_log_likelihood__MAX","ChowLiu_advanced - _step","ChowLiu_advanced - _step__MIN","ChowLiu_advanced - _step__MAX","ChowLiu_advanced - advanced_log_likelihood","ChowLiu_advanced - advanced_log_likelihood__MIN","ChowLiu_advanced - advanced_log_likelihood__MAX","ChowLiu_detailed - _step","ChowLiu_detailed - _step__MIN","ChowLiu_detailed - _step__MAX","ChowLiu_detailed - detailed_log_likelihood","ChowLiu_detailed - detailed_log_likelihood__MIN","ChowLiu_detailed - detailed_log_likelihood__MAX","BIC_basic - _step","BIC_basic - _step__MIN","BIC_basic - _step__MAX","BIC_basic - basic_log_likelihood","BIC_basic - basic_log_likelihood__MIN","BIC_basic - basic_log_likelihood__MAX","BIC_very_basic - _step","BIC_very_basic - _step__MIN","BIC_very_basic - _step__MAX","BIC_very_basic - very_basic_log_likelihood","BIC_very_basic - very_basic_log_likelihood__MIN","BIC_very_basic - very_basic_log_likelihood__MAX","ChowLiu_basic - _step","ChowLiu_basic - _step__MIN","ChowLiu_basic - _step__MAX","ChowLiu_basic - basic_log_likelihood","ChowLiu_basic - basic_log_likelihood__MIN","ChowLiu_basic - basic_log_likelihood__MAX","ChowLiu_very_basic - _step","ChowLiu_very_basic - _step__MIN","ChowLiu_very_basic - _step__MAX","ChowLiu_very_basic - very_basic_log_likelihood","ChowLiu_very_basic - very_basic_log_likelihood__MIN","ChowLiu_very_basic - very_basic_log_likelihood__MAX"
"1500","20","20","20","-554.5257568359375","-554.5257568359375","-554.5257568359375","20","20","20","-571.8978271484375","-571.8978271484375","-571.8978271484375","20","20","20","-458.77392578125","-458.77392578125","-458.77392578125","20","20","20","-546.6583251953125","-546.6583251953125","-546.6583251953125","20","20","20","-254.864990234375","-254.864990234375","-254.864990234375","20","20","20","-261.1505432128906","-261.1505432128906","-261.1505432128906","20","20","20","-285.74761962890625","-285.74761962890625","-285.74761962890625","20","20","20","-277.78778076171875","-277.78778076171875","-277.78778076171875","20","20","20","-285.4832458496094","-285.4832458496094","-285.4832458496094","20","20","20","-270.082275390625","-270.082275390625","-270.082275390625","20","20","20","-285.55047607421875","-285.55047607421875","-285.55047607421875","20","20","20","-269.88934326171875","-269.88934326171875","-269.88934326171875"
"2000","21","21","21","-741.463134765625","-741.463134765625","-741.463134765625","21","21","21","-678.9598388671875","-678.9598388671875","-678.9598388671875","21","21","21","-685.2410278320312","-685.2410278320312","-685.2410278320312","21","21","21","-702.359619140625","-702.359619140625","-702.359619140625","21","21","21","-357.29449462890625","-357.29449462890625","-357.29449462890625","21","21","21","-362.02752685546875","-362.02752685546875","-362.02752685546875","21","21","21","-368.3128356933594","-368.3128356933594","-368.3128356933594","21","21","21","-342.45233154296875","-342.45233154296875","-342.45233154296875","21","21","21","-344.4013671875","-344.4013671875","-344.4013671875","21","21","21","-343.59344482421875","-343.59344482421875","-343.59344482421875","21","21","21","-368.353515625","-368.353515625","-368.353515625","21","21","21","-344.370849609375","-344.370849609375","-344.370849609375"
"2500","22","22","22","-947.6175537109375","-947.6175537109375","-947.6175537109375","22","22","22","-923.4613037109375","-923.4613037109375","-923.4613037109375","22","22","22","-963.6140747070312","-963.6140747070312","-963.6140747070312","22","22","22","-872.9221801757812","-872.9221801757812","-872.9221801757812","22","22","22","-437.4154357910156","-437.4154357910156","-437.4154357910156","22","22","22","-439.4787292480469","-439.4787292480469","-439.4787292480469","22","22","22","-468.15234375","-468.15234375","-468.15234375","22","22","22","-438.0497131347656","-438.0497131347656","-438.0497131347656","22","22","22","-465.27105712890625","-465.27105712890625","-465.27105712890625","22","22","22","-431.1477966308594","-431.1477966308594","-431.1477966308594","22","22","22","-449.82110595703125","-449.82110595703125","-449.82110595703125","22","22","22","-408.6110534667969","-408.6110534667969","-408.6110534667969"
"3000","23","23","23","-1153.6435546875","-1153.6435546875","-1153.6435546875","23","23","23","-1147.605712890625","-1147.605712890625","-1147.605712890625","23","23","23","-1123.473388671875","-1123.473388671875","-1123.473388671875","23","23","23","-1065.4180908203125","-1065.4180908203125","-1065.4180908203125","23","23","23","-521.3397216796875","-521.3397216796875","-521.3397216796875","23","23","23","-515.2149047851562","-515.2149047851562","-515.2149047851562","23","23","23","-534.1475219726562","-534.1475219726562","-534.1475219726562","23","23","23","-551.1450805664062","-551.1450805664062","-551.1450805664062","23","23","23","-524.2508544921875","-524.2508544921875","-524.2508544921875","23","23","23","-519.3434448242188","-519.3434448242188","-519.3434448242188","23","23","23","-530.7611083984375","-530.7611083984375","-530.7611083984375","23","23","23","-584.0479736328125","-584.0479736328125","-584.0479736328125"
"3500","24","24","24","-1322.475830078125","-1322.475830078125","-1322.475830078125","24","24","24","-1239.787353515625","-1239.787353515625","-1239.787353515625","24","24","24","-1178.1036376953125","-1178.1036376953125","-1178.1036376953125","24","24","24","-1295.8134765625","-1295.8134765625","-1295.8134765625","24","24","24","-585.1698608398438","-585.1698608398438","-585.1698608398438","24","24","24","-596.3729858398438","-596.3729858398438","-596.3729858398438","24","24","24","-654.5703735351562","-654.5703735351562","-654.5703735351562","24","24","24","-658.4073486328125","-658.4073486328125","-658.4073486328125","24","24","24","-602.6470947265625","-602.6470947265625","-602.6470947265625","24","24","24","-609.2579956054688","-609.2579956054688","-609.2579956054688","24","24","24","-613.2583618164062","-613.2583618164062","-613.2583618164062","24","24","24","-641.6138916015625","-641.6138916015625","-641.6138916015625"
"4000","25","25","25","-1317.21044921875","-1317.21044921875","-1317.21044921875","25","25","25","-1465.1917724609375","-1465.1917724609375","-1465.1917724609375","25","25","25","-1551.50830078125","-1551.50830078125","-1551.50830078125","25","25","25","-1508.693603515625","-1508.693603515625","-1508.693603515625","25","25","25","-681.3273315429688","-681.3273315429688","-681.3273315429688","25","25","25","-681.8450927734375","-681.8450927734375","-681.8450927734375","25","25","25","-712.9430541992188","-712.9430541992188","-712.9430541992188","25","25","25","-738.09130859375","-738.09130859375","-738.09130859375","25","25","25","-682.721923828125","-682.721923828125","-682.721923828125","25","25","25","-703.5067138671875","-703.5067138671875","-703.5067138671875","25","25","25","-720.9509887695312","-720.9509887695312","-720.9509887695312","25","25","25","-729.57666015625","-729.57666015625","-729.57666015625"
"4500","26","26","26","-1621.296630859375","-1621.296630859375","-1621.296630859375","26","26","26","-1652.610595703125","-1652.610595703125","-1652.610595703125","26","26","26","-1658.3179931640625","-1658.3179931640625","-1658.3179931640625","26","26","26","-1457.524658203125","-1457.524658203125","-1457.524658203125","26","26","26","-754.5081787109375","-754.5081787109375","-754.5081787109375","26","26","26","-756.93017578125","-756.93017578125","-756.93017578125","26","26","26","-843.4998779296875","-843.4998779296875","-843.4998779296875","26","26","26","-853.1183471679688","-853.1183471679688","-853.1183471679688","26","26","26","-775.5175170898438","-775.5175170898438","-775.5175170898438","26","26","26","-791.2869873046875","-791.2869873046875","-791.2869873046875","26","26","26","-785.7650146484375","-785.7650146484375","-785.7650146484375","26","26","26","-811.3718872070312","-811.3718872070312","-811.3718872070312"
"5000","27","27","27","-1904.192626953125","-1904.192626953125","-1904.192626953125","27","27","27","-1876.622314453125","-1876.622314453125","-1876.622314453125","27","27","27","-1713.3717041015625","-1713.3717041015625","-1713.3717041015625","27","27","27","-1807.9466552734375","-1807.9466552734375","-1807.9466552734375","27","27","27","-846.3624877929688","-846.3624877929688","-846.3624877929688","27","27","27","-848.80078125","-848.80078125","-848.80078125","27","27","27","-921.8870239257812","-921.8870239257812","-921.8870239257812","27","27","27","-967.80419921875","-967.80419921875","-967.80419921875","27","27","27","-814.3508911132812","-814.3508911132812","-814.3508911132812","27","27","27","-834.7849731445312","-834.7849731445312","-834.7849731445312","27","27","27","-943.2083129882812","-943.2083129882812","-943.2083129882812","27","27","27","-891.0289916992188","-891.0289916992188","-891.0289916992188"
"5500","28","28","28","-2035.6478271484375","-2035.6478271484375","-2035.6478271484375","28","28","28","-2112.517578125","-2112.517578125","-2112.517578125","28","28","28","-1955.735107421875","-1955.735107421875","-1955.735107421875","28","28","28","-2036.787353515625","-2036.787353515625","-2036.787353515625","28","28","28","-928.02587890625","-928.02587890625","-928.02587890625","28","28","28","-912.0232543945312","-912.0232543945312","-912.0232543945312","28","28","28","-1058.688232421875","-1058.688232421875","-1058.688232421875","28","28","28","-1014.0855712890625","-1014.0855712890625","-1014.0855712890625","28","28","28","-922.99267578125","-922.99267578125","-922.99267578125","28","28","28","-916.18310546875","-916.18310546875","-916.18310546875","28","28","28","-1005.5552978515625","-1005.5552978515625","-1005.5552978515625","28","28","28","-987.6222534179688","-987.6222534179688","-987.6222534179688"
"6000","29","29","29","-2344.41943359375","-2344.41943359375","-2344.41943359375","29","29","29","-2079.658935546875","-2079.658935546875","-2079.658935546875","29","29","29","-2096.409423828125","-2096.409423828125","-2096.409423828125","29","29","29","-1986.1048583984375","-1986.1048583984375","-1986.1048583984375","29","29","29","-1011.1383056640625","-1011.1383056640625","-1011.1383056640625","29","29","29","-1036.630126953125","-1036.630126953125","-1036.630126953125","29","29","29","-1125.891357421875","-1125.891357421875","-1125.891357421875","29","29","29","-1112.2890625","-1112.2890625","-1112.2890625","29","29","29","-972.86376953125","-972.86376953125","-972.86376953125","29","29","29","-1005.01220703125","-1005.01220703125","-1005.01220703125","29","29","29","-1091.568115234375","-1091.568115234375","-1091.568115234375","29","29","29","-1087.0870361328125","-1087.0870361328125","-1087.0870361328125"
"6500","30","30","30","-2298.434814453125","-2298.434814453125","-2298.434814453125","30","30","30","-2133.300048828125","-2133.300048828125","-2133.300048828125","30","30","30","-2217.65283203125","-2217.65283203125","-2217.65283203125","30","30","30","-2303.72265625","-2303.72265625","-2303.72265625","30","30","30","-1072.5859375","-1072.5859375","-1072.5859375","30","30","30","-1121.6741943359375","-1121.6741943359375","-1121.6741943359375","30","30","30","-1211.511474609375","-1211.511474609375","-1211.511474609375","30","30","30","-1204.0953369140625","-1204.0953369140625","-1204.0953369140625","30","30","30","-1079.4429931640625","-1079.4429931640625","-1079.4429931640625","30","30","30","-1106.543212890625","-1106.543212890625","-1106.543212890625","30","30","30","-1172.838623046875","-1172.838623046875","-1172.838623046875","30","30","30","-1185.294921875","-1185.294921875","-1185.294921875"
"7000","31","31","31","-2241.075439453125","-2241.075439453125","-2241.075439453125","31","31","31","-2617.275390625","-2617.275390625","-2617.275390625","31","31","31","-2577.128173828125","-2577.128173828125","-2577.128173828125","31","31","31","-2633.377685546875","-2633.377685546875","-2633.377685546875","31","31","31","-1154.8089599609375","-1154.8089599609375","-1154.8089599609375","31","31","31","-1189.917236328125","-1189.917236328125","-1189.917236328125","31","31","31","-1269.0181884765625","-1269.0181884765625","-1269.0181884765625","31","31","31","-1246.1531982421875","-1246.1531982421875","-1246.1531982421875","31","31","31","-1202.9354248046875","-1202.9354248046875","-1202.9354248046875","31","31","31","-1137.759033203125","-1137.759033203125","-1137.759033203125","31","31","31","-1233.457275390625","-1233.457275390625","-1233.457275390625","31","31","31","-1279.356689453125","-1279.356689453125","-1279.356689453125"
"7500","32","32","32","-2922.00341796875","-2922.00341796875","-2922.00341796875","32","32","32","-2690.20947265625","-2690.20947265625","-2690.20947265625","32","32","32","-2670.565185546875","-2670.565185546875","-2670.565185546875","32","32","32","-2780.706298828125","-2780.706298828125","-2780.706298828125","32","32","32","-1215.0147705078125","-1215.0147705078125","-1215.0147705078125","32","32","32","-1230.8695068359375","-1230.8695068359375","-1230.8695068359375","32","32","32","-1378.405517578125","-1378.405517578125","-1378.405517578125","32","32","32","-1364.892822265625","-1364.892822265625","-1364.892822265625","32","32","32","-1195.697998046875","-1195.697998046875","-1195.697998046875","32","32","32","-1228.4642333984375","-1228.4642333984375","-1228.4642333984375","32","32","32","-1299.3779296875","-1299.3779296875","-1299.3779296875","32","32","32","-1391.8966064453125","-1391.8966064453125","-1391.8966064453125"
"8000","33","33","33","-2980.53076171875","-2980.53076171875","-2980.53076171875","33","33","33","-2925.725830078125","-2925.725830078125","-2925.725830078125","33","33","33","-3005.316162109375","-3005.316162109375","-3005.316162109375","33","33","33","-2997.515625","-2997.515625","-2997.515625","33","33","33","-1338.6353759765625","-1338.6353759765625","-1338.6353759765625","33","33","33","-1347.719970703125","-1347.719970703125","-1347.719970703125","33","33","33","-1472.7349853515625","-1472.7349853515625","-1472.7349853515625","33","33","33","-1471.422607421875","-1471.422607421875","-1471.422607421875","33","33","33","-1402.8592529296875","-1402.8592529296875","-1402.8592529296875","33","33","33","-1344.887939453125","-1344.887939453125","-1344.887939453125","33","33","33","-1456.8922119140625","-1456.8922119140625","-1456.8922119140625","33","33","33","-1445.777099609375","-1445.777099609375","-1445.777099609375"
"8500","34","34","34","-2995.132080078125","-2995.132080078125","-2995.132080078125","34","34","34","-3021.728759765625","-3021.728759765625","-3021.728759765625","34","34","34","-2836.21435546875","-2836.21435546875","-2836.21435546875","34","34","34","-2745.60205078125","-2745.60205078125","-2745.60205078125","34","34","34","-1407.7193603515625","-1407.7193603515625","-1407.7193603515625","34","34","34","-1426.973876953125","-1426.973876953125","-1426.973876953125","34","34","34","-1583.1236572265625","-1583.1236572265625","-1583.1236572265625","34","34","34","-1598.4554443359375","-1598.4554443359375","-1598.4554443359375","34","34","34","-1463.24951171875","-1463.24951171875","-1463.24951171875","34","34","34","-1424.4549560546875","-1424.4549560546875","-1424.4549560546875","34","34","34","-1508.125732421875","-1508.125732421875","-1508.125732421875","34","34","34","-1540.5992431640625","-1540.5992431640625","-1540.5992431640625"
"9000","35","35","35","-3169.6103515625","-3169.6103515625","-3169.6103515625","35","35","35","-3357.03955078125","-3357.03955078125","-3357.03955078125","35","35","35","-3242.896484375","-3242.896484375","-3242.896484375","35","35","35","-2820.1953125","-2820.1953125","-2820.1953125","35","35","35","-1491.939697265625","-1491.939697265625","-1491.939697265625","35","35","35","-1460.9915771484375","-1460.9915771484375","-1460.9915771484375","35","35","35","-1698.200927734375","-1698.200927734375","-1698.200927734375","35","35","35","-1656.9788818359375","-1656.9788818359375","-1656.9788818359375","35","35","35","-1529.870849609375","-1529.870849609375","-1529.870849609375","35","35","35","-1489.1002197265625","-1489.1002197265625","-1489.1002197265625","35","35","35","-1616.881591796875","-1616.881591796875","-1616.881591796875","35","35","35","-1635.6224365234375","-1635.6224365234375","-1635.6224365234375"
"9500","36","36","36","-3637.879638671875","-3637.879638671875","-3637.879638671875","36","36","36","-3453.552001953125","-3453.552001953125","-3453.552001953125","36","36","36","-3501.42041015625","-3501.42041015625","-3501.42041015625","36","36","36","-3555.52734375","-3555.52734375","-3555.52734375","36","36","36","-1580.193115234375","-1580.193115234375","-1580.193115234375","36","36","36","-1607.760986328125","-1607.760986328125","-1607.760986328125","36","36","36","-1702.123291015625","-1702.123291015625","-1702.123291015625","36","36","36","-1809.4111328125","-1809.4111328125","-1809.4111328125","36","36","36","-1596.39453125","-1596.39453125","-1596.39453125","36","36","36","-1588.073486328125","-1588.073486328125","-1588.073486328125","36","36","36","-1709.9759521484375","-1709.9759521484375","-1709.9759521484375","36","36","36","-1729.665283203125","-1729.665283203125","-1729.665283203125"
"10000","37","37","37","-3691.77490234375","-3691.77490234375","-3691.77490234375","37","37","37","-3325.284423828125","-3325.284423828125","-3325.284423828125","37","37","37","-3299.7421875","-3299.7421875","-3299.7421875","37","37","37","-3608.77978515625","-3608.77978515625","-3608.77978515625","37","37","37","-1673.280517578125","-1673.280517578125","-1673.280517578125","37","37","37","-1635.727783203125","-1635.727783203125","-1635.727783203125","37","37","37","-1818.5205078125","-1818.5205078125","-1818.5205078125","37","37","37","-1830.6181640625","-1830.6181640625","-1830.6181640625","37","37","37","-1649.318359375","-1649.318359375","-1649.318359375","37","37","37","-1699.9840087890625","-1699.9840087890625","-1699.9840087890625","37","37","37","-1782.9332275390625","-1782.9332275390625","-1782.9332275390625","37","37","37","-1837.4736328125","-1837.4736328125","-1837.4736328125"
"15000","38","38","38","-5777.02734375","-5777.02734375","-5777.02734375","38","38","38","-5758.25048828125","-5758.25048828125","-5758.25048828125","38","38","38","-5087.7353515625","-5087.7353515625","-5087.7353515625","38","38","38","-5633.7958984375","-5633.7958984375","-5633.7958984375","38","38","38","-2429.25732421875","-2429.25732421875","-2429.25732421875","38","38","38","-2532.79248046875","-2532.79248046875","-2532.79248046875","38","38","38","-2771.89306640625","-2771.89306640625","-2771.89306640625","38","38","38","-2779.557861328125","-2779.557861328125","-2779.557861328125","38","38","38","-2558.830810546875","-2558.830810546875","-2558.830810546875","38","38","38","-2511.501953125","-2511.501953125","-2511.501953125","38","38","38","-2658.62109375","-2658.62109375","-2658.62109375","38","38","38","-2723.767578125","-2723.767578125","-2723.767578125"
"20000","39","39","39","-7493.7529296875","-7493.7529296875","-7493.7529296875","39","39","39","-7276.14208984375","-7276.14208984375","-7276.14208984375","39","39","39","-7405.57275390625","-7405.57275390625","-7405.57275390625","39","39","39","-6691.607421875","-6691.607421875","-6691.607421875","39","39","39","-3216.45361328125","-3216.45361328125","-3216.45361328125","39","39","39","-3355.44873046875","-3355.44873046875","-3355.44873046875","39","39","39","-3626.96533203125","-3626.96533203125","-3626.96533203125","39","39","39","-3678.498046875","-3678.498046875","-3678.498046875","39","39","39","-3405.502685546875","-3405.502685546875","-3405.502685546875","39","39","39","-3406.7109375","-3406.7109375","-3406.7109375","39","39","39","-3578.78759765625","-3578.78759765625","-3578.78759765625","39","39","39","-3675.59619140625","-3675.59619140625","-3675.59619140625"
"25000","40","40","40","-9236.9453125","-9236.9453125","-9236.9453125","40","40","40","-9467.9921875","-9467.9921875","-9467.9921875","40","40","40","-8953.876953125","-8953.876953125","-8953.876953125","40","40","40","-8079.8466796875","-8079.8466796875","-8079.8466796875","40","40","40","-4166.44140625","-4166.44140625","-4166.44140625","40","40","40","-4214.68115234375","-4214.68115234375","-4214.68115234375","40","40","40","-4681.07080078125","-4681.07080078125","-4681.07080078125","40","40","40","-4640.2578125","-4640.2578125","-4640.2578125","40","40","40","-4317.693359375","-4317.693359375","-4317.693359375","40","40","40","-4261.3681640625","-4261.3681640625","-4261.3681640625","40","40","40","-4472.76416015625","-4472.76416015625","-4472.76416015625","40","40","40","-4625.5986328125","-4625.5986328125","-4625.5986328125"
"30000","41","41","41","-11154.3408203125","-11154.3408203125","-11154.3408203125","41","41","41","-11383.986328125","-11383.986328125","-11383.986328125","41","41","41","-10418.140625","-10418.140625","-10418.140625","41","41","41","-10493.09765625","-10493.09765625","-10493.09765625","41","41","41","-4993.5478515625","-4993.5478515625","-4993.5478515625","41","41","41","-4968.32861328125","-4968.32861328125","-4968.32861328125","41","41","41","-5585.2744140625","-5585.2744140625","-5585.2744140625","41","41","41","-5540.9208984375","-5540.9208984375","-5540.9208984375","41","41","41","-5025.31201171875","-5025.31201171875","-5025.31201171875","41","41","41","-5023.3720703125","-5023.3720703125","-5023.3720703125","41","41","41","-5387.73486328125","-5387.73486328125","-5387.73486328125","41","41","41","-5442.2919921875","-5442.2919921875","-5442.2919921875"
"35000","42","42","42","-12705.6689453125","-12705.6689453125","-12705.6689453125","42","42","42","-13056.0419921875","-13056.0419921875","-13056.0419921875","42","42","42","-11484.5048828125","-11484.5048828125","-11484.5048828125","42","42","42","-11566.3564453125","-11566.3564453125","-11566.3564453125","42","42","42","-5812.2607421875","-5812.2607421875","-5812.2607421875","42","42","42","-5859.89599609375","-5859.89599609375","-5859.89599609375","42","42","42","-6453.095703125","-6453.095703125","-6453.095703125","42","42","42","-6483.2841796875","-6483.2841796875","-6483.2841796875","42","42","42","-5771.1337890625","-5771.1337890625","-5771.1337890625","42","42","42","-5981.06640625","-5981.06640625","-5981.06640625","42","42","42","-6409.55078125","-6409.55078125","-6409.55078125","42","42","42","-6368.6083984375","-6368.6083984375","-6368.6083984375"
"40000","43","43","43","-14795.888671875","-14795.888671875","-14795.888671875","43","43","43","-14678.8828125","-14678.8828125","-14678.8828125","43","43","43","-15502.6533203125","-15502.6533203125","-15502.6533203125","43","43","43","-14291.9716796875","-14291.9716796875","-14291.9716796875","43","43","43","-6379.67138671875","-6379.67138671875","-6379.67138671875","43","43","43","-6613.43603515625","-6613.43603515625","-6613.43603515625","43","43","43","-7407.91162109375","-7407.91162109375","-7407.91162109375","43","43","43","-7360.52099609375","-7360.52099609375","-7360.52099609375","43","43","43","-6549.08837890625","-6549.08837890625","-6549.08837890625","43","43","43","-6567.7119140625","-6567.7119140625","-6567.7119140625","43","43","43","-7212.80078125","-7212.80078125","-7212.80078125","43","43","43","-7213.8779296875","-7213.8779296875","-7213.8779296875"
"45000","44","44","44","-14863.986328125","-14863.986328125","-14863.986328125","44","44","44","-16325.560546875","-16325.560546875","-16325.560546875","44","44","44","-16123.640625","-16123.640625","-16123.640625","44","44","44","-16539.8828125","-16539.8828125","-16539.8828125","44","44","44","-7294.4658203125","-7294.4658203125","-7294.4658203125","44","44","44","-7373.8037109375","-7373.8037109375","-7373.8037109375","44","44","44","-8249.974609375","-8249.974609375","-8249.974609375","44","44","44","-8469.998046875","-8469.998046875","-8469.998046875","44","44","44","-7517.68505859375","-7517.68505859375","-7517.68505859375","44","44","44","-7471.8544921875","-7471.8544921875","-7471.8544921875","44","44","44","-8094.5458984375","-8094.5458984375","-8094.5458984375","44","44","44","-8257.6865234375","-8257.6865234375","-8257.6865234375"
"50000","45","45","45","-17288.16796875","-17288.16796875","-17288.16796875","45","45","45","-16733.0078125","-16733.0078125","-16733.0078125","45","45","45","-16568.3671875","-16568.3671875","-16568.3671875","45","45","45","-17253.33984375","-17253.33984375","-17253.33984375","45","45","45","-8002.77978515625","-8002.77978515625","-8002.77978515625","45","45","45","-7986.8896484375","-7986.8896484375","-7986.8896484375","45","45","45","-9228.376953125","-9228.376953125","-9228.376953125","45","45","45","-9230.080078125","-9230.080078125","-9230.080078125","45","45","45","-8205.1943359375","-8205.1943359375","-8205.1943359375","45","45","45","-8363.5400390625","-8363.5400390625","-8363.5400390625","45","45","45","-8965.515625","-8965.515625","-8965.515625","45","45","45","-8870.5126953125","-8870.5126953125","-8870.5126953125"
"55000","46","46","46","-19832.68359375","-19832.68359375","-19832.68359375","46","46","46","-17524.576171875","-17524.576171875","-17524.576171875","46","46","46","-19092.69140625","-19092.69140625","-19092.69140625","46","46","46","-21208.349609375","-21208.349609375","-21208.349609375","46","46","46","-9000.4697265625","-9000.4697265625","-9000.4697265625","46","46","46","-8852.87109375","-8852.87109375","-8852.87109375","46","46","46","-10248.138671875","-10248.138671875","-10248.138671875","46","46","46","-10228.416015625","-10228.416015625","-10228.416015625","46","46","46","-8801.70703125","-8801.70703125","-8801.70703125","46","46","46","-9118.1923828125","-9118.1923828125","-9118.1923828125","46","46","46","-9698.1982421875","-9698.1982421875","-9698.1982421875","46","46","46","-10014.75390625","-10014.75390625","-10014.75390625"
"60000","47","47","47","-22615.853515625","-22615.853515625","-22615.853515625","47","47","47","-21585.31640625","-21585.31640625","-21585.31640625","47","47","47","-20889.703125","-20889.703125","-20889.703125","47","47","47","-21368.1953125","-21368.1953125","-21368.1953125","47","47","47","-9749.978515625","-9749.978515625","-9749.978515625","47","47","47","-9955.1015625","-9955.1015625","-9955.1015625","47","47","47","-11120.8232421875","-11120.8232421875","-11120.8232421875","47","47","47","-11207.5546875","-11207.5546875","-11207.5546875","47","47","47","-10008.275390625","-10008.275390625","-10008.275390625","47","47","47","-9862.4892578125","-9862.4892578125","-9862.4892578125","47","47","47","-10806.0234375","-10806.0234375","-10806.0234375","47","47","47","-10903.9755859375","-10903.9755859375","-10903.9755859375"
"65000","48","48","48","-24990.50390625","-24990.50390625","-24990.50390625","48","48","48","-24112.060546875","-24112.060546875","-24112.060546875","48","48","48","-23703.04296875","-23703.04296875","-23703.04296875","48","48","48","-23261.11328125","-23261.11328125","-23261.11328125","48","48","48","-10620.8583984375","-10620.8583984375","-10620.8583984375","48","48","48","-10495.2255859375","-10495.2255859375","-10495.2255859375","48","48","48","-12053.90625","-12053.90625","-12053.90625","48","48","48","-12031.568359375","-12031.568359375","-12031.568359375","48","48","48","-10849.318359375","-10849.318359375","-10849.318359375","48","48","48","-10892.3974609375","-10892.3974609375","-10892.3974609375","48","48","48","-11602.62890625","-11602.62890625","-11602.62890625","48","48","48","-11627.046875","-11627.046875","-11627.046875"
"70000","49","49","49","-26322.73046875","-26322.73046875","-26322.73046875","49","49","49","-26191.923828125","-26191.923828125","-26191.923828125","49","49","49","-24712.66796875","-24712.66796875","-24712.66796875","49","49","49","-24305.400390625","-24305.400390625","-24305.400390625","49","49","49","-11443.619140625","-11443.619140625","-11443.619140625","49","49","49","-11207.576171875","-11207.576171875","-11207.576171875","49","49","49","-13018.0634765625","-13018.0634765625","-13018.0634765625","49","49","49","-12944.806640625","-12944.806640625","-12944.806640625","49","49","49","-11736.587890625","-11736.587890625","-11736.587890625","49","49","49","-11667.55078125","-11667.55078125","-11667.55078125","49","49","49","-12725.349609375","-12725.349609375","-12725.349609375","49","49","49","-12659.9443359375","-12659.9443359375","-12659.9443359375"
"75000","50","50","50","-26038.392578125","-26038.392578125","-26038.392578125","50","50","50","-28755.130859375","-28755.130859375","-28755.130859375","50","50","50","-28251.25","-28251.25","-28251.25","50","50","50","-26410.828125","-26410.828125","-26410.828125","50","50","50","-12076.244140625","-12076.244140625","-12076.244140625","50","50","50","-12332.935546875","-12332.935546875","-12332.935546875","50","50","50","-13972.7685546875","-13972.7685546875","-13972.7685546875","50","50","50","-13909.1689453125","-13909.1689453125","-13909.1689453125","50","50","50","-12439.103515625","-12439.103515625","-12439.103515625","50","50","50","-12579.6220703125","-12579.6220703125","-12579.6220703125","50","50","50","-13539.955078125","-13539.955078125","-13539.955078125","50","50","50","-13703.185546875","-13703.185546875","-13703.185546875"
"80000","51","51","51","-28174.005859375","-28174.005859375","-28174.005859375","51","51","51","-30676.05859375","-30676.05859375","-30676.05859375","51","51","51","-30240.39453125","-30240.39453125","-30240.39453125","51","51","51","-28287","-28287","-28287","51","51","51","-12731.990234375","-12731.990234375","-12731.990234375","51","51","51","-13217.365234375","-13217.365234375","-13217.365234375","51","51","51","-14963.2705078125","-14963.2705078125","-14963.2705078125","51","51","51","-14698.474609375","-14698.474609375","-14698.474609375","51","51","51","-13148.193359375","-13148.193359375","-13148.193359375","51","51","51","-13385.251953125","-13385.251953125","-13385.251953125","51","51","51","-14375.9423828125","-14375.9423828125","-14375.9423828125","51","51","51","-14614.046875","-14614.046875","-14614.046875"
