"dataset size","Random_very_basic - _step","Random_very_basic - _step__MIN","Random_very_basic - _step__MAX","Random_very_basic - very_basic_log_likelihood","Random_very_basic - very_basic_log_likelihood__MIN","Random_very_basic - very_basic_log_likelihood__MAX","Random_basic - _step","Random_basic - _step__MIN","Random_basic - _step__MAX","Random_basic - basic_log_likelihood","Random_basic - basic_log_likelihood__MIN","Random_basic - basic_log_likelihood__MAX","Random_advanced - _step","Random_advanced - _step__MIN","Random_advanced - _step__MAX","Random_advanced - advanced_log_likelihood","Random_advanced - advanced_log_likelihood__MIN","Random_advanced - advanced_log_likelihood__MAX","Random_detailed - _step","Random_detailed - _step__MIN","Random_detailed - _step__MAX","Random_detailed - detailed_log_likelihood","Random_detailed - detailed_log_likelihood__MIN","Random_detailed - detailed_log_likelihood__MAX","BIC_advanced - _step","BIC_advanced - _step__MIN","BIC_advanced - _step__MAX","BIC_advanced - advanced_log_likelihood","BIC_advanced - advanced_log_likelihood__MIN","BIC_advanced - advanced_log_likelihood__MAX","BIC_detailed - _step","BIC_detailed - _step__MIN","BIC_detailed - _step__MAX","BIC_detailed - detailed_log_likelihood","BIC_detailed - detailed_log_likelihood__MIN","BIC_detailed - detailed_log_likelihood__MAX","ChowLiu_advanced - _step","ChowLiu_advanced - _step__MIN","ChowLiu_advanced - _step__MAX","ChowLiu_advanced - advanced_log_likelihood","ChowLiu_advanced - advanced_log_likelihood__MIN","ChowLiu_advanced - advanced_log_likelihood__MAX","ChowLiu_detailed - _step","ChowLiu_detailed - _step__MIN","ChowLiu_detailed - _step__MAX","ChowLiu_detailed - detailed_log_likelihood","ChowLiu_detailed - detailed_log_likelihood__MIN","ChowLiu_detailed - detailed_log_likelihood__MAX","BIC_basic - _step","BIC_basic - _step__MIN","BIC_basic - _step__MAX","BIC_basic - basic_log_likelihood","BIC_basic - basic_log_likelihood__MIN","BIC_basic - basic_log_likelihood__MAX","BIC_very_basic - _step","BIC_very_basic - _step__MIN","BIC_very_basic - _step__MAX","BIC_very_basic - very_basic_log_likelihood","BIC_very_basic - very_basic_log_likelihood__MIN","BIC_very_basic - very_basic_log_likelihood__MAX","ChowLiu_basic - _step","ChowLiu_basic - _step__MIN","ChowLiu_basic - _step__MAX","ChowLiu_basic - basic_log_likelihood","ChowLiu_basic - basic_log_likelihood__MIN","ChowLiu_basic - basic_log_likelihood__MAX","ChowLiu_very_basic - _step","ChowLiu_very_basic - _step__MIN","ChowLiu_very_basic - _step__MAX","ChowLiu_very_basic - very_basic_log_likelihood","ChowLiu_very_basic - very_basic_log_likelihood__MIN","ChowLiu_very_basic - very_basic_log_likelihood__MAX"
"550","10","10","10","-206.64334106445312","-206.64334106445312","-206.64334106445312","10","10","10","-221.2703399658203","-221.2703399658203","-221.2703399658203","10","10","10","-190.70724487304688","-190.70724487304688","-190.70724487304688","10","10","10","-197.75924682617188","-197.75924682617188","-197.75924682617188","10","10","10","-116.73410034179688","-116.73410034179688","-116.73410034179688","10","10","10","-122.80340576171875","-122.80340576171875","-122.80340576171875","10","10","10","-107.29618072509766","-107.29618072509766","-107.29618072509766","10","10","10","-91.59349060058594","-91.59349060058594","-91.59349060058594","10","10","10","-120.56424713134766","-120.56424713134766","-120.56424713134766","10","10","10","-105.65018463134766","-105.65018463134766","-105.65018463134766","10","10","10","-93.05107116699219","-93.05107116699219","-93.05107116699219","10","10","10","-114.47596740722656","-114.47596740722656","-114.47596740722656"
"600","11","11","11","-208.1347198486328","-208.1347198486328","-208.1347198486328","11","11","11","-189.74017333984375","-189.74017333984375","-189.74017333984375","11","11","11","-214.11959838867188","-214.11959838867188","-214.11959838867188","11","11","11","-227.5541534423828","-227.5541534423828","-227.5541534423828","11","11","11","-118.9800033569336","-118.9800033569336","-118.9800033569336","11","11","11","-117.64710235595703","-117.64710235595703","-117.64710235595703","11","11","11","-108.383056640625","-108.383056640625","-108.383056640625","11","11","11","-119.7549819946289","-119.7549819946289","-119.7549819946289","11","11","11","-130.2762451171875","-130.2762451171875","-130.2762451171875","11","11","11","-114.91669464111328","-114.91669464111328","-114.91669464111328","11","11","11","-111.1889877319336","-111.1889877319336","-111.1889877319336","11","11","11","-97.3050537109375","-97.3050537109375","-97.3050537109375"
"650","12","12","12","-243.34512329101562","-243.34512329101562","-243.34512329101562","12","12","12","-239.53762817382812","-239.53762817382812","-239.53762817382812","12","12","12","-233.6678466796875","-233.6678466796875","-233.6678466796875","12","12","12","-249.4360809326172","-249.4360809326172","-249.4360809326172","12","12","12","-131.19522094726562","-131.19522094726562","-131.19522094726562","12","12","12","-132.8828125","-132.8828125","-132.8828125","12","12","12","-119.67826843261719","-119.67826843261719","-119.67826843261719","12","12","12","-115.55770111083984","-115.55770111083984","-115.55770111083984","12","12","12","-132.11375427246094","-132.11375427246094","-132.11375427246094","12","12","12","-129.78713989257812","-129.78713989257812","-129.78713989257812","12","12","12","-121.79557037353516","-121.79557037353516","-121.79557037353516","12","12","12","-130.40853881835938","-130.40853881835938","-130.40853881835938"
"700","13","13","13","-256.552490234375","-256.552490234375","-256.552490234375","13","13","13","-260.5065002441406","-260.5065002441406","-260.5065002441406","13","13","13","-227.81167602539062","-227.81167602539062","-227.81167602539062","13","13","13","-264.640625","-264.640625","-264.640625","13","13","13","-153.97926330566406","-153.97926330566406","-153.97926330566406","13","13","13","-152.41232299804688","-152.41232299804688","-152.41232299804688","13","13","13","-137.55181884765625","-137.55181884765625","-137.55181884765625","13","13","13","-128.2418670654297","-128.2418670654297","-128.2418670654297","13","13","13","-141.31027221679688","-141.31027221679688","-141.31027221679688","13","13","13","-142.92547607421875","-142.92547607421875","-142.92547607421875","13","13","13","-131.53173828125","-131.53173828125","-131.53173828125","13","13","13","-125.5457763671875","-125.5457763671875","-125.5457763671875"
"750","14","14","14","-272.74334716796875","-272.74334716796875","-272.74334716796875","14","14","14","-245.3294219970703","-245.3294219970703","-245.3294219970703","14","14","14","-252.97152709960938","-252.97152709960938","-252.97152709960938","14","14","14","-273.0347900390625","-273.0347900390625","-273.0347900390625","14","14","14","-153.6729278564453","-153.6729278564453","-153.6729278564453","14","14","14","-146.5886688232422","-146.5886688232422","-146.5886688232422","14","14","14","-136.4221649169922","-136.4221649169922","-136.4221649169922","14","14","14","-136.5536346435547","-136.5536346435547","-136.5536346435547","14","14","14","-129.6151123046875","-129.6151123046875","-129.6151123046875","14","14","14","-148.16932678222656","-148.16932678222656","-148.16932678222656","14","14","14","-144.5167236328125","-144.5167236328125","-144.5167236328125","14","14","14","-137.5958251953125","-137.5958251953125","-137.5958251953125"
"800","15","15","15","-270.24810791015625","-270.24810791015625","-270.24810791015625","15","15","15","-331.6817626953125","-331.6817626953125","-331.6817626953125","15","15","15","-323.09765625","-323.09765625","-323.09765625","15","15","15","-300.05157470703125","-300.05157470703125","-300.05157470703125","15","15","15","-168.7268524169922","-168.7268524169922","-168.7268524169922","15","15","15","-159.99346923828125","-159.99346923828125","-159.99346923828125","15","15","15","-160.91943359375","-160.91943359375","-160.91943359375","15","15","15","-144.65560913085938","-144.65560913085938","-144.65560913085938","15","15","15","-154.03564453125","-154.03564453125","-154.03564453125","15","15","15","-158.72048950195312","-158.72048950195312","-158.72048950195312","15","15","15","-139.84982299804688","-139.84982299804688","-139.84982299804688","15","15","15","-146.4713592529297","-146.4713592529297","-146.4713592529297"
"850","16","16","16","-344.5226745605469","-344.5226745605469","-344.5226745605469","16","16","16","-302.45623779296875","-302.45623779296875","-302.45623779296875","16","16","16","-311.4374084472656","-311.4374084472656","-311.4374084472656","16","16","16","-312.2568054199219","-312.2568054199219","-312.2568054199219","16","16","16","-157.7685546875","-157.7685546875","-157.7685546875","16","16","16","-158.70223999023438","-158.70223999023438","-158.70223999023438","16","16","16","-164.45809936523438","-164.45809936523438","-164.45809936523438","16","16","16","-152.23646545410156","-152.23646545410156","-152.23646545410156","16","16","16","-154.30453491210938","-154.30453491210938","-154.30453491210938","16","16","16","-159.37229919433594","-159.37229919433594","-159.37229919433594","16","16","16","-159.82888793945312","-159.82888793945312","-159.82888793945312","16","16","16","-172.48464965820312","-172.48464965820312","-172.48464965820312"
"900","17","17","17","-329.74517822265625","-329.74517822265625","-329.74517822265625","17","17","17","-353.3420104980469","-353.3420104980469","-353.3420104980469","17","17","17","-325.0259094238281","-325.0259094238281","-325.0259094238281","17","17","17","-338.7745666503906","-338.7745666503906","-338.7745666503906","17","17","17","-182.62277221679688","-182.62277221679688","-182.62277221679688","17","17","17","-172.31893920898438","-172.31893920898438","-172.31893920898438","17","17","17","-171.63357543945312","-171.63357543945312","-171.63357543945312","17","17","17","-169.44190979003906","-169.44190979003906","-169.44190979003906","17","17","17","-173.77610778808594","-173.77610778808594","-173.77610778808594","17","17","17","-159.59593200683594","-159.59593200683594","-159.59593200683594","17","17","17","-158.3490447998047","-158.3490447998047","-158.3490447998047","17","17","17","-173.8817596435547","-173.8817596435547","-173.8817596435547"
"950","18","18","18","-334.6590881347656","-334.6590881347656","-334.6590881347656","18","18","18","-333.73095703125","-333.73095703125","-333.73095703125","18","18","18","-324.6081237792969","-324.6081237792969","-324.6081237792969","18","18","18","-337.64068603515625","-337.64068603515625","-337.64068603515625","18","18","18","-178.54977416992188","-178.54977416992188","-178.54977416992188","18","18","18","-174.48480224609375","-174.48480224609375","-174.48480224609375","18","18","18","-174.7985076904297","-174.7985076904297","-174.7985076904297","18","18","18","-173.68771362304688","-173.68771362304688","-173.68771362304688","18","18","18","-195.40919494628906","-195.40919494628906","-195.40919494628906","18","18","18","-186.03427124023438","-186.03427124023438","-186.03427124023438","18","18","18","-172.17379760742188","-172.17379760742188","-172.17379760742188","18","18","18","-159.9925537109375","-159.9925537109375","-159.9925537109375"
"1000","19","19","19","-356.6578063964844","-356.6578063964844","-356.6578063964844","19","19","19","-397.6805725097656","-397.6805725097656","-397.6805725097656","19","19","19","-336.066650390625","-336.066650390625","-336.066650390625","19","19","19","-351.3272399902344","-351.3272399902344","-351.3272399902344","19","19","19","-190.76258850097656","-190.76258850097656","-190.76258850097656","19","19","19","-191.05404663085938","-191.05404663085938","-191.05404663085938","19","19","19","-180.60556030273438","-180.60556030273438","-180.60556030273438","19","19","19","-175.64456176757812","-175.64456176757812","-175.64456176757812","19","19","19","-191.33973693847656","-191.33973693847656","-191.33973693847656","19","19","19","-184.97225952148438","-184.97225952148438","-184.97225952148438","19","19","19","-180.5970001220703","-180.5970001220703","-180.5970001220703","19","19","19","-160.1444549560547","-160.1444549560547","-160.1444549560547"
