"dataset size","Random - _step","Random - _step__MIN","Random - _step__MAX","Random - log_likelihood","Random - log_likelihood__MIN","Random - log_likelihood__MAX","K2 - _step","K2 - _step__MIN","K2 - _step__MAX","K2 - log_likelihood","K2 - log_likelihood__MIN","K2 - log_likelihood__MAX","ChowLiu - _step","ChowLiu - _step__MIN","ChowLiu - _step__MAX","ChowLiu - log_likelihood","ChowLiu - log_likelihood__MIN","ChowLiu - log_likelihood__MAX","BDs - _step","BDs - _step__MIN","BDs - _step__MAX","BDs - log_likelihood","BDs - log_likelihood__MIN","BDs - log_likelihood__MAX","BIC - _step","BIC - _step__MIN","BIC - _step__MAX","BIC - log_likelihood","BIC - log_likelihood__MIN","BIC - log_likelihood__MAX"
"850","16","16","16","-5323.8662109375","-5323.8662109375","-5323.8662109375","16","16","16","-4770.61083984375","-4770.61083984375","-4770.61083984375","16","16","16","-4209.96044921875","-4209.96044921875","-4209.96044921875","16","16","16","-4035.555908203125","-4035.555908203125","-4035.555908203125","16","16","16","-3450.42431640625","-3450.42431640625","-3450.42431640625"
"900","17","17","17","-5682.65869140625","-5682.65869140625","-5682.65869140625","17","17","17","-5147.06884765625","-5147.06884765625","-5147.06884765625","17","17","17","-4496.6240234375","-4496.6240234375","-4496.6240234375","17","17","17","-4353.22900390625","-4353.22900390625","-4353.22900390625","17","17","17","-2180.60498046875","-2180.60498046875","-2180.60498046875"
"950","18","18","18","-6068.66943359375","-6068.66943359375","-6068.66943359375","18","18","18","-5358.95751953125","-5358.95751953125","-5358.95751953125","18","18","18","-4744.90380859375","-4744.90380859375","-4744.90380859375","18","18","18","-4397.6552734375","-4397.6552734375","-4397.6552734375","18","18","18","-3586.52294921875","-3586.52294921875","-3586.52294921875"
"1000","19","19","19","-5992.62548828125","-5992.62548828125","-5992.62548828125","19","19","19","-5403.92431640625","-5403.92431640625","-5403.92431640625","19","19","19","-4922.2294921875","-4922.2294921875","-4922.2294921875","19","19","19","-4848.2978515625","-4848.2978515625","-4848.2978515625","19","19","19","-3129.38427734375","-3129.38427734375","-3129.38427734375"
"1500","20","20","20","-9488.9462890625","-9488.9462890625","-9488.9462890625","20","20","20","-7872.38818359375","-7872.38818359375","-7872.38818359375","20","20","20","-7313.6611328125","-7313.6611328125","-7313.6611328125","20","20","20","-7113.11328125","-7113.11328125","-7113.11328125","20","20","20","-6503.24755859375","-6503.24755859375","-6503.24755859375"
"2000","21","21","21","-11925.076171875","-11925.076171875","-11925.076171875","21","21","21","-10207.109375","-10207.109375","-10207.109375","21","21","21","-9738.783203125","-9738.783203125","-9738.783203125","21","21","21","-9870.03515625","-9870.03515625","-9870.03515625","21","21","21","-6982.0390625","-6982.0390625","-6982.0390625"
"2500","22","22","22","-14991.177734375","-14991.177734375","-14991.177734375","22","22","22","-12609.970703125","-12609.970703125","-12609.970703125","22","22","22","-12124.765625","-12124.765625","-12124.765625","22","22","22","-11671.865234375","-11671.865234375","-11671.865234375","22","22","22","-9950.3857421875","-9950.3857421875","-9950.3857421875"
"3000","23","23","23","-16748.86328125","-16748.86328125","-16748.86328125","23","23","23","-15010.306640625","-15010.306640625","-15010.306640625","23","23","23","-14398.091796875","-14398.091796875","-14398.091796875","23","23","23","-14515.056640625","-14515.056640625","-14515.056640625","23","23","23","-12549.5517578125","-12549.5517578125","-12549.5517578125"
"3500","24","24","24","-20718.19140625","-20718.19140625","-20718.19140625","24","24","24","-17208.287109375","-17208.287109375","-17208.287109375","24","24","24","-16740.490234375","-16740.490234375","-16740.490234375","24","24","24","-16701.19921875","-16701.19921875","-16701.19921875","24","24","24","-14210.9873046875","-14210.9873046875","-14210.9873046875"
"4000","25","25","25","-23995.83984375","-23995.83984375","-23995.83984375","25","25","25","-19430.82421875","-19430.82421875","-19430.82421875","25","25","25","-19365.091796875","-19365.091796875","-19365.091796875","25","25","25","-18991.8125","-18991.8125","-18991.8125","25","25","25","-16414.041015625","-16414.041015625","-16414.041015625"
