"dataset size","Random_detailed - _step","Random_detailed - _step__MIN","Random_detailed - _step__MAX","Random_detailed - detailed_log_likelihood","Random_detailed - detailed_log_likelihood__MIN","Random_detailed - detailed_log_likelihood__MAX","BIC_detailed - _step","BIC_detailed - _step__MIN","BIC_detailed - _step__MAX","BIC_detailed - detailed_log_likelihood","BIC_detailed - detailed_log_likelihood__MIN","BIC_detailed - detailed_log_likelihood__MAX","ChowLiu_detailed - _step","ChowLiu_detailed - _step__MIN","ChowLiu_detailed - _step__MAX","ChowLiu_detailed - detailed_log_likelihood","ChowLiu_detailed - detailed_log_likelihood__MIN","ChowLiu_detailed - detailed_log_likelihood__MAX"
"5500","28","28","28","-2036.787353515625","-2036.787353515625","-2036.787353515625","28","28","28","-912.0232543945312","-912.0232543945312","-912.0232543945312","28","28","28","-1014.0855712890625","-1014.0855712890625","-1014.0855712890625"
"6000","29","29","29","-1986.1048583984375","-1986.1048583984375","-1986.1048583984375","29","29","29","-1036.630126953125","-1036.630126953125","-1036.630126953125","29","29","29","-1112.2890625","-1112.2890625","-1112.2890625"
"6500","30","30","30","-2303.72265625","-2303.72265625","-2303.72265625","30","30","30","-1121.6741943359375","-1121.6741943359375","-1121.6741943359375","30","30","30","-1204.0953369140625","-1204.0953369140625","-1204.0953369140625"
"7000","31","31","31","-2633.377685546875","-2633.377685546875","-2633.377685546875","31","31","31","-1189.917236328125","-1189.917236328125","-1189.917236328125","31","31","31","-1246.1531982421875","-1246.1531982421875","-1246.1531982421875"
"7500","32","32","32","-2780.706298828125","-2780.706298828125","-2780.706298828125","32","32","32","-1230.8695068359375","-1230.8695068359375","-1230.8695068359375","32","32","32","-1364.892822265625","-1364.892822265625","-1364.892822265625"
"8000","33","33","33","-2997.515625","-2997.515625","-2997.515625","33","33","33","-1347.719970703125","-1347.719970703125","-1347.719970703125","33","33","33","-1471.422607421875","-1471.422607421875","-1471.422607421875"
"8500","34","34","34","-2745.60205078125","-2745.60205078125","-2745.60205078125","34","34","34","-1426.973876953125","-1426.973876953125","-1426.973876953125","34","34","34","-1598.4554443359375","-1598.4554443359375","-1598.4554443359375"
"9000","35","35","35","-2820.1953125","-2820.1953125","-2820.1953125","35","35","35","-1460.9915771484375","-1460.9915771484375","-1460.9915771484375","35","35","35","-1656.9788818359375","-1656.9788818359375","-1656.9788818359375"
"9500","36","36","36","-3555.52734375","-3555.52734375","-3555.52734375","36","36","36","-1607.760986328125","-1607.760986328125","-1607.760986328125","36","36","36","-1809.4111328125","-1809.4111328125","-1809.4111328125"
"10000","37","37","37","-3608.77978515625","-3608.77978515625","-3608.77978515625","37","37","37","-1635.727783203125","-1635.727783203125","-1635.727783203125","37","37","37","-1830.6181640625","-1830.6181640625","-1830.6181640625"
"15000","38","38","38","-5633.7958984375","-5633.7958984375","-5633.7958984375","38","38","38","-2532.79248046875","-2532.79248046875","-2532.79248046875","38","38","38","-2779.557861328125","-2779.557861328125","-2779.557861328125"
"20000","39","39","39","-6691.607421875","-6691.607421875","-6691.607421875","39","39","39","-3355.44873046875","-3355.44873046875","-3355.44873046875","39","39","39","-3678.498046875","-3678.498046875","-3678.498046875"
"25000","40","40","40","-8079.8466796875","-8079.8466796875","-8079.8466796875","40","40","40","-4214.68115234375","-4214.68115234375","-4214.68115234375","40","40","40","-4640.2578125","-4640.2578125","-4640.2578125"
"30000","41","41","41","-10493.09765625","-10493.09765625","-10493.09765625","41","41","41","-4968.32861328125","-4968.32861328125","-4968.32861328125","41","41","41","-5540.9208984375","-5540.9208984375","-5540.9208984375"
"35000","42","42","42","-11566.3564453125","-11566.3564453125","-11566.3564453125","42","42","42","-5859.89599609375","-5859.89599609375","-5859.89599609375","42","42","42","-6483.2841796875","-6483.2841796875","-6483.2841796875"
"40000","43","43","43","-14291.9716796875","-14291.9716796875","-14291.9716796875","43","43","43","-6613.43603515625","-6613.43603515625","-6613.43603515625","43","43","43","-7360.52099609375","-7360.52099609375","-7360.52099609375"
"45000","44","44","44","-16539.8828125","-16539.8828125","-16539.8828125","44","44","44","-7373.8037109375","-7373.8037109375","-7373.8037109375","44","44","44","-8469.998046875","-8469.998046875","-8469.998046875"
"50000","45","45","45","-17253.33984375","-17253.33984375","-17253.33984375","45","45","45","-7986.8896484375","-7986.8896484375","-7986.8896484375","45","45","45","-9230.080078125","-9230.080078125","-9230.080078125"
"55000","46","46","46","-21208.349609375","-21208.349609375","-21208.349609375","46","46","46","-8852.87109375","-8852.87109375","-8852.87109375","46","46","46","-10228.416015625","-10228.416015625","-10228.416015625"
"60000","47","47","47","-21368.1953125","-21368.1953125","-21368.1953125","47","47","47","-9955.1015625","-9955.1015625","-9955.1015625","47","47","47","-11207.5546875","-11207.5546875","-11207.5546875"
"65000","48","48","48","-23261.11328125","-23261.11328125","-23261.11328125","48","48","48","-10495.2255859375","-10495.2255859375","-10495.2255859375","48","48","48","-12031.568359375","-12031.568359375","-12031.568359375"
"70000","49","49","49","-24305.400390625","-24305.400390625","-24305.400390625","49","49","49","-11207.576171875","-11207.576171875","-11207.576171875","49","49","49","-12944.806640625","-12944.806640625","-12944.806640625"
"75000","50","50","50","-26410.828125","-26410.828125","-26410.828125","50","50","50","-12332.935546875","-12332.935546875","-12332.935546875","50","50","50","-13909.1689453125","-13909.1689453125","-13909.1689453125"
"80000","51","51","51","-28287","-28287","-28287","51","51","51","-13217.365234375","-13217.365234375","-13217.365234375","51","51","51","-14698.474609375","-14698.474609375","-14698.474609375"
"85000","52","52","52","-32026.587890625","-32026.587890625","-32026.587890625","52","52","52","-13865.0263671875","-13865.0263671875","-13865.0263671875","52","52","52","-15782.3046875","-15782.3046875","-15782.3046875"
"90000","53","53","53","-28631.26171875","-28631.26171875","-28631.26171875","53","53","53","-14675.3076171875","-14675.3076171875","-14675.3076171875","53","53","53","-16576.86328125","-16576.86328125","-16576.86328125"
"95000","54","54","54","-34258.7265625","-34258.7265625","-34258.7265625","54","54","54","-15260.1533203125","-15260.1533203125","-15260.1533203125","54","54","54","-17550.57421875","-17550.57421875","-17550.57421875"
"100000","55","55","55","-33876.484375","-33876.484375","-33876.484375","55","55","55","-16094.146484375","-16094.146484375","-16094.146484375","55","55","55","-18542.94140625","-18542.94140625","-18542.94140625"
"105000","56","56","56","-36264.26171875","-36264.26171875","-36264.26171875","56","56","56","-17349.61328125","-17349.61328125","-17349.61328125","56","56","56","-19394.41015625","-19394.41015625","-19394.41015625"
