"dataset size","Random_very_basic - _step","Random_very_basic - _step__MIN","Random_very_basic - _step__MAX","Random_very_basic - very_basic_log_likelihood","Random_very_basic - very_basic_log_likelihood__MIN","Random_very_basic - very_basic_log_likelihood__MAX","BIC_very_basic - _step","BIC_very_basic - _step__MIN","BIC_very_basic - _step__MAX","BIC_very_basic - very_basic_log_likelihood","BIC_very_basic - very_basic_log_likelihood__MIN","BIC_very_basic - very_basic_log_likelihood__MAX","ChowLiu_very_basic - _step","ChowLiu_very_basic - _step__MIN","ChowLiu_very_basic - _step__MAX","ChowLiu_very_basic - very_basic_log_likelihood","ChowLiu_very_basic - very_basic_log_likelihood__MIN","ChowLiu_very_basic - very_basic_log_likelihood__MAX"
"5000","27","27","27","-1904.192626953125","-1904.192626953125","-1904.192626953125","27","27","27","-834.7849731445312","-834.7849731445312","-834.7849731445312","27","27","27","-891.0289916992188","-891.0289916992188","-891.0289916992188"
"5500","28","28","28","-2035.6478271484375","-2035.6478271484375","-2035.6478271484375","28","28","28","-916.18310546875","-916.18310546875","-916.18310546875","28","28","28","-987.6222534179688","-987.6222534179688","-987.6222534179688"
"6000","29","29","29","-2344.41943359375","-2344.41943359375","-2344.41943359375","29","29","29","-1005.01220703125","-1005.01220703125","-1005.01220703125","29","29","29","-1087.0870361328125","-1087.0870361328125","-1087.0870361328125"
"6500","30","30","30","-2298.434814453125","-2298.434814453125","-2298.434814453125","30","30","30","-1106.543212890625","-1106.543212890625","-1106.543212890625","30","30","30","-1185.294921875","-1185.294921875","-1185.294921875"
"7000","31","31","31","-2241.075439453125","-2241.075439453125","-2241.075439453125","31","31","31","-1137.759033203125","-1137.759033203125","-1137.759033203125","31","31","31","-1279.356689453125","-1279.356689453125","-1279.356689453125"
"7500","32","32","32","-2922.00341796875","-2922.00341796875","-2922.00341796875","32","32","32","-1228.4642333984375","-1228.4642333984375","-1228.4642333984375","32","32","32","-1391.8966064453125","-1391.8966064453125","-1391.8966064453125"
"8000","33","33","33","-2980.53076171875","-2980.53076171875","-2980.53076171875","33","33","33","-1344.887939453125","-1344.887939453125","-1344.887939453125","33","33","33","-1445.777099609375","-1445.777099609375","-1445.777099609375"
"8500","34","34","34","-2995.132080078125","-2995.132080078125","-2995.132080078125","34","34","34","-1424.4549560546875","-1424.4549560546875","-1424.4549560546875","34","34","34","-1540.5992431640625","-1540.5992431640625","-1540.5992431640625"
"9000","35","35","35","-3169.6103515625","-3169.6103515625","-3169.6103515625","35","35","35","-1489.1002197265625","-1489.1002197265625","-1489.1002197265625","35","35","35","-1635.6224365234375","-1635.6224365234375","-1635.6224365234375"
"9500","36","36","36","-3637.879638671875","-3637.879638671875","-3637.879638671875","36","36","36","-1588.073486328125","-1588.073486328125","-1588.073486328125","36","36","36","-1729.665283203125","-1729.665283203125","-1729.665283203125"
"10000","37","37","37","-3691.77490234375","-3691.77490234375","-3691.77490234375","37","37","37","-1699.9840087890625","-1699.9840087890625","-1699.9840087890625","37","37","37","-1837.4736328125","-1837.4736328125","-1837.4736328125"
"15000","38","38","38","-5777.02734375","-5777.02734375","-5777.02734375","38","38","38","-2511.501953125","-2511.501953125","-2511.501953125","38","38","38","-2723.767578125","-2723.767578125","-2723.767578125"
"20000","39","39","39","-7493.7529296875","-7493.7529296875","-7493.7529296875","39","39","39","-3406.7109375","-3406.7109375","-3406.7109375","39","39","39","-3675.59619140625","-3675.59619140625","-3675.59619140625"
"25000","40","40","40","-9236.9453125","-9236.9453125","-9236.9453125","40","40","40","-4261.3681640625","-4261.3681640625","-4261.3681640625","40","40","40","-4625.5986328125","-4625.5986328125","-4625.5986328125"
"30000","41","41","41","-11154.3408203125","-11154.3408203125","-11154.3408203125","41","41","41","-5023.3720703125","-5023.3720703125","-5023.3720703125","41","41","41","-5442.2919921875","-5442.2919921875","-5442.2919921875"
"35000","42","42","42","-12705.6689453125","-12705.6689453125","-12705.6689453125","42","42","42","-5981.06640625","-5981.06640625","-5981.06640625","42","42","42","-6368.6083984375","-6368.6083984375","-6368.6083984375"
"40000","43","43","43","-14795.888671875","-14795.888671875","-14795.888671875","43","43","43","-6567.7119140625","-6567.7119140625","-6567.7119140625","43","43","43","-7213.8779296875","-7213.8779296875","-7213.8779296875"
"45000","44","44","44","-14863.986328125","-14863.986328125","-14863.986328125","44","44","44","-7471.8544921875","-7471.8544921875","-7471.8544921875","44","44","44","-8257.6865234375","-8257.6865234375","-8257.6865234375"
"50000","45","45","45","-17288.16796875","-17288.16796875","-17288.16796875","45","45","45","-8363.5400390625","-8363.5400390625","-8363.5400390625","45","45","45","-8870.5126953125","-8870.5126953125","-8870.5126953125"
"55000","46","46","46","-19832.68359375","-19832.68359375","-19832.68359375","46","46","46","-9118.1923828125","-9118.1923828125","-9118.1923828125","46","46","46","-10014.75390625","-10014.75390625","-10014.75390625"
"60000","47","47","47","-22615.853515625","-22615.853515625","-22615.853515625","47","47","47","-9862.4892578125","-9862.4892578125","-9862.4892578125","47","47","47","-10903.9755859375","-10903.9755859375","-10903.9755859375"
"65000","48","48","48","-24990.50390625","-24990.50390625","-24990.50390625","48","48","48","-10892.3974609375","-10892.3974609375","-10892.3974609375","48","48","48","-11627.046875","-11627.046875","-11627.046875"
"70000","49","49","49","-26322.73046875","-26322.73046875","-26322.73046875","49","49","49","-11667.55078125","-11667.55078125","-11667.55078125","49","49","49","-12659.9443359375","-12659.9443359375","-12659.9443359375"
"75000","50","50","50","-26038.392578125","-26038.392578125","-26038.392578125","50","50","50","-12579.6220703125","-12579.6220703125","-12579.6220703125","50","50","50","-13703.185546875","-13703.185546875","-13703.185546875"
"80000","51","51","51","-28174.005859375","-28174.005859375","-28174.005859375","51","51","51","-13385.251953125","-13385.251953125","-13385.251953125","51","51","51","-14614.046875","-14614.046875","-14614.046875"
"85000","52","52","52","-30001.662109375","-30001.662109375","-30001.662109375","52","52","52","-14073.291015625","-14073.291015625","-14073.291015625","52","52","52","-15466.025390625","-15466.025390625","-15466.025390625"
"90000","53","53","53","-30711.255859375","-30711.255859375","-30711.255859375","53","53","53","-15037.123046875","-15037.123046875","-15037.123046875","53","53","53","-16461.62890625","-16461.62890625","-16461.62890625"
"95000","54","54","54","-31957.26171875","-31957.26171875","-31957.26171875","","","","","","","54","54","54","-17154.333984375","-17154.333984375","-17154.333984375"
"100000","55","55","55","-36400.5625","-36400.5625","-36400.5625","","","","","","","55","55","55","-17980.490234375","-17980.490234375","-17980.490234375"
"105000","56","56","56","-40413.76171875","-40413.76171875","-40413.76171875","","","","","","","56","56","56","-19062.453125","-19062.453125","-19062.453125"
